tmin	tier	text	tmax
1149.787334	word	晚上	1150.540739
1149.787334	EU/tone	2151	1150.540739
1149.787334	IU/tone	2151	1150.540739
1152.401977	word	我	1152.706677
1152.401977	EU/tone	21	1152.706677
1152.401977	IU/tone	21	1152.706677
1152.706677	EU/tone	2151	1153.290379
1152.706677	word	晚上	1153.290379
1152.706677	IU/tone	2151	1153.290379
1153.290379	IU/tone	3521	1154.006980
1153.290379	EU/tone	3521	1154.006980
1153.290379	word	游泳	1154.006980
1160.239628	word	我	1160.852698
1160.239628	IU/tone	21	1160.852698
1160.239628	EU/tone	21	1160.852698
1165.404928	IU/tone	2151	1166.062052
1165.404928	word	晚上	1166.062052
1165.404928	EU/tone	2151	1166.062052
1168.473696	word	我	1168.917896
1168.473696	EU/tone	21	1168.917896
1168.473696	IU/tone	21	1168.917896
